ID,Type,Color,Image_Path,Caption
1,Sideboards Buffets Console Tables 30454,N/A,sideboards_buffets_console_tables_30454_image_1.jpg,"The image shows a white sideboard with two doors and two drawers. The sideboard has a sleek and modern design, with a glossy finish that reflects the light. The doors are slightly ajar,"
2,Sideboards Buffets Console Tables 30454,N/A,sideboards_buffets_console_tables_30454_image_2.jpg,"The image shows a black sideboard with two doors and two drawers. The sideboard has a sleek, modern design with a glossy finish, and the drawers are slightly recessed into the sideboard"
3,Sideboards Buffets Console Tables 30454,N/A,sideboards_buffets_console_tables_30454_image_3.jpg,"The image shows a white sideboard with two doors and a wooden top."
4,Sideboards Buffets Console Tables 30454,N/A,sideboards_buffets_console_tables_30454_image_4.jpg,"The image shows a white Ikea Kallax storage cabinet with two doors and two drawers, providing ample storage space for items such as books, magazines, and other items."
5,Sideboards Buffets Console Tables 30454,N/A,sideboards_buffets_console_tables_30454_image_5.jpg,"The image shows a black and oak sideboard with three doors and two drawers. The sideboard has a sleek, modern design with a black metal frame and a light oak finish. The doors and draw"
6,Sideboards Buffets Console Tables 30454,N/A,sideboards_buffets_console_tables_30454_image_6.jpg,"The image shows a black and walnut sideboard with two doors and two drawers. The sideboard has a sleek, modern design with a combination of black and brown wood, giving it a unique and stylish"
7,Sideboards Buffets Console Tables 30454,N/A,sideboards_buffets_console_tables_30454_image_7.jpg,The image shows a white Ikea Kallax 2-door storage cabinet with two doors and two drawers.
8,Sideboards Buffets Console Tables 30454,N/A,sideboards_buffets_console_tables_30454_image_8.jpg,"The image shows a white sideboard with three doors and two drawers, measuring 120 cm in length, from Ikea. It has a sleek and modern design, perfect for any living room."
9,Sideboards Buffets Console Tables 30454,N/A,sideboards_buffets_console_tables_30454_image_9.jpg,"The image shows a wooden bookcase with four glass doors. The bookcase is made of wood and has four shelves, providing ample storage space for books, magazines, and other items."
10,Sideboards Buffets Console Tables 30454,N/A,sideboards_buffets_console_tables_30454_image_10.jpg,"The image shows a white Ikea Kallax sideboard with glass doors, providing ample storage space."
